rank,asin,title,price,rating,num_reviews,img_link
43,B0763N7WMP,"Cecotec Cafetera Express Manual Power Espresso 20. 850 W, Presión 20 Bares, Depósito de 1,6L, Brazo Doble Salida, Vaporizador, Superficie Calientatazas, Acabados en Acero Inoxidable",0,4.0,6490,"https://images-eu.ssl-images-amazon.com/images/I/61DzOxc-BdL._AC_UL300_SR300,200_.jpg"
44,B0BKQDQZ6M,"Todocama - Sábana Bajera Ajustable de Microfibra cepillada Extra Suave. (Cama 90 x 190/200cm, Gris Claro)",0,4.3,999,"https://images-eu.ssl-images-amazon.com/images/I/51BWBasbnlL._AC_UL300_SR300,200_.jpg"
45,B09FLGR2R6,"ZEYXINH 14.4V 2600mAh Li-Ion Batería de Repuesto para Conga 990 950 1090 1790 1990, Eufy RoboVac 11 11S 11SMAX 12 15C 15CMAX 15T 30 30C 30 MAX 35C Ecovacs Deebot N79 N79S DN622 IKHOS S14 S15",0,4.5,2599,"https://images-eu.ssl-images-amazon.com/images/I/61CsxBmLGML._AC_UL300_SR300,200_.jpg"
46,B07KP8563B,Utopia Bedding Funda Nordica 220 x 240 - Microfibra Juego de Funda Edredon 220x240 cm y 2 Fundas de Almohada 65x65 cm (Gris),0,4.4,2399,"https://images-eu.ssl-images-amazon.com/images/I/61KLnbYVJbL._AC_UL300_SR300,200_.jpg"
47,B086HX9LB6,"Braun Minipimer 5200 - Batidora de Mano, 1000 W, 21 Velocidades y Función Turbo, Campana Anti-salpicaduras, Powerbell Plus, Easy-Click, Incluye Vaso Medidor de 600 ml, Color Blanco",0,4.5,3490,"https://images-eu.ssl-images-amazon.com/images/I/610s04ImtkL._AC_UL300_SR300,200_.jpg"
48,B01MG2N0TU,"Orbegozo RRE 1510 Emisor Térmico Bajo Consumo, 8 Elementos de Calor, Pantalla Digital LCD, Mando a Distancia, Funcionamiento Programable, 1500 W, 1 Liter, 44 Decibelios, Aluminio, Color Blanco",0,4.3,15899,"https://images-eu.ssl-images-amazon.com/images/I/51HBhX0W66L._AC_UL300_SR300,200_.jpg"
49,B008KO2ED4,"Monix Vitro Noir – Cafetera Italiana de Aluminio, Capacidad 12 Tazas, Apta para Todo Tipo de cocinas Salvo inducción (Braisogona M640012)",0,4.4,1699,"https://images-eu.ssl-images-amazon.com/images/I/81Ob86pK+DL._AC_UL300_SR300,200_.jpg"
50,B0BFB5HJCT,"Cecotec Freidora de Aire sin Aceite de 5,5 L Air Fryer Cecofry Full InoxBlack 5500 Pro con Accesorios. 1700 W, Dietética y Digital, Táctil, Acabados en Acero Inox, 8 Modos, Pack de Accesorios",0,4.5,7990,"https://images-eu.ssl-images-amazon.com/images/I/51Qjwa7pftL._AC_UL300_SR300,200_.jpg"
51,B09KNP5X1X,"Fundas Nórdicas Cama 105 - 120 Microfibra Juego de Funda de Edredón 200x200 cm, 2 Fundas de Almohada 50 x 80 cm Gris Oscuro",0,4.1,2199,"https://images-eu.ssl-images-amazon.com/images/I/71xITbYghOL._AC_UL600_SR600,400_.jpg"
52,B073P3FRL8,"Protector Colchon 90x190 Impermeable Antiacaros Premium Made in EU & Oeko Tex Dreamzie - Funda Colchon 90x190 Hipoalergénico, Anti-Bacteriano",0,4.5,1199,"https://images-eu.ssl-images-amazon.com/images/I/91V+3vrboZL._AC_UL600_SR600,400_.jpg"
53,B0C7LJGF9G,"DUÉRMETE ONLINE - Colchón Viscoelástico Pocket Visco Reversible (Cara Invierno-Verano) Firmeza-Dureza Media-Alta, Grosor 20cm, Antiácaros, Antibacerias e Hipoalergénico, 90x190",0,4.3,7630,"https://images-eu.ssl-images-amazon.com/images/I/51GakdIiRzL._AC_UL600_SR600,400_.jpg"
54,B08NCDB5HG,"Cecotec Plancha Ropa Vapor Fast&Furious 5040 Absolute. 3000 W, Vapor 65 g/min, Golpe de vapor 230 g/min, Suela Turbo Slide, Modo ECO, Sistema de seguridad autoapagado, Antigoteo",0,3.9,3290,"https://images-eu.ssl-images-amazon.com/images/I/61Q1lB0l3FL._AC_UL600_SR600,400_.jpg"
55,B0B398Z8ZP,Pulverizador Aceite. Spray Aceite Cocina 300 ml Dispensador de Aceitera Spray en Botella Dosificador de Aceite Oliva Vaporizador de Aceite y Vinagre para Cocinar (Black 1 pc),0,4.2,1190,"https://images-eu.ssl-images-amazon.com/images/I/61wRtq-qLwL._AC_UL600_SR600,400_.jpg"
56,B0843Q6L5P,ARCOS Pelador Profesional 130mm en Acero Inoxidable Cromado para Pelar Frutas y Verduras. Utensilio de Cocina para Cortes Finos. Gadget Chef con Diseño Ergonómico. Color Plata,0,4.7,495,"https://images-eu.ssl-images-amazon.com/images/I/61-EgKEasdL._AC_UL600_SR600,400_.jpg"
57,B0843BS66Q,Gridinlux | Radiador Eléctrico Silencioso Programable | Control Móvil App y WIFI | 2 Potencias | Resistencia IP24 | Apto para Baños | Homely WiFi Warm 2000W,0,4.1,8997,"https://images-eu.ssl-images-amazon.com/images/I/51YfH+AneYL._AC_UL600_SR600,400_.jpg"
58,B0BQ137P3G,"Cecotec Quitapelusas Recargable Cut-X 4500 Garment. 45 Minutos de Autonomía, Rejilla en 3 Tamaños, Sistema de Seguridad, 8800 RPM, Cabezal Regulable y Cepillo de Limpieza, Ergonómico",0,4.4,1490,"https://images-eu.ssl-images-amazon.com/images/I/51EOWWAiAxL._AC_UL600_SR600,400_.jpg"
59,B0BSXDLXC4,"Brita Jarra con Filtro de Agua Marella Azul (2,4 l) Incl. 3X Cartuchos MAXTRA Pro All-in-1: Jarra Apta para frigorífico con memo Digital y Tapa abatible Que Reduce el Cloro, la Cal y Las impurezas",0,4.6,2509,"https://images-eu.ssl-images-amazon.com/images/I/81GaxDSEE+L._AC_UL600_SR600,400_.jpg"
60,B07PTNZT75,"Etekcity EK6015, Báscula de Cocina Digital de Acero Inoxidable, Balanza Cocina de Alta Precisión 5 kg/ 11 lbs, Peso Cocina con Pantalla LCD, Multifuncional, 2 Baterías Incluidas",0,4.6,1099,"https://images-eu.ssl-images-amazon.com/images/I/7157x4p8zTL._AC_UL600_SR600,400_.jpg"
61,B09JNRHG8X,"OMISOON Calefactor 2000W, ECO Calefactor bajo consumo, PTC, 90°Oscilación, Temporizador 24h, Termostato, Rejilla ajustable, Protección contra Sobrecalentamiento y Vuelco, 3 Modo, Calentador, Negro",0,4.3,5949,"https://images-eu.ssl-images-amazon.com/images/I/61unXRwOAKL._AC_UL600_SR600,400_.jpg"
62,B08NDVTN5C,"GRIFEMA GA2002 Báscula de Cocina con Pantalla LCD, Báscula Digital para Cocina de Acero Inoxidable,Balanza de Alimentos Multifuncional 5 kg/11 lbs[Exclusivo en Amazon]",0,4.5,899,"https://images-eu.ssl-images-amazon.com/images/I/51jf2y7mXsL._AC_UL600_SR600,400_.jpg"
63,B01LD0A3FM,Calientacamas Eléctrico Individual | Tamaño 170 x 90 cm | 2 Niveles de Temperatura | Calientacamas Elaborado en Poliéster 100% | Manta Eléctrica Cubre Colchones | Pekatherm UP117,0,4.1,2080,"https://images-eu.ssl-images-amazon.com/images/I/61E-pK5hp-L._AC_UL600_SR600,400_.jpg"
64,B014EWSGX2,"Rowenta Compact Power SO2210 - Calefactor Compacto con motor dual de 1000 W y 2000 W, función Silence, 2 velocidades y múltiples funciones, termostato anti-heladas, función frío, Color Negro",0,4.2,2999,"https://images-eu.ssl-images-amazon.com/images/I/61wPqjOfiJL._AC_UL600_SR600,400_.jpg"
65,B007CFTD9K,"Orbegozo TO 4012 - Tostadora de ranura larga, calienta panecillos, 7 niveles de tostado, función descongelación y recalentamiento, bandeja recogemigas, 850 W, Color Blanco",0,4.4,1799,"https://images-eu.ssl-images-amazon.com/images/I/51qADTQFVDL._AC_UL600_SR600,400_.jpg"
66,B0C3GG6G25,"rattantree Silla de Oficina, Silla de Escritorio Ergonómica con Reposacabezas Ajustable y Soporte Lumbar, Respaldo de Malla Transpirable, Reposabrazos Abatibles de 90°, Silla Giratoria de 360°",0,4.2,7224,"https://images-eu.ssl-images-amazon.com/images/I/71P4Wk-Kk8L._AC_UL600_SR600,400_.jpg"
67,B09SHPQJ14,"Bonsenkitchen Batidora de mano, acero inoxidable de 1000 W, velocidades infinitamente variables, varilla mezcladora para alimentos para bebés, sopa, batidos, puré, salsa, (negro)",0,4.3,1999,"https://images-eu.ssl-images-amazon.com/images/I/61DQw9naiCL._AC_UL600_SR600,400_.jpg"
68,B0B8J4Z5DW,"Moulinex Easy Fry XXL 6,5 L EZ8018 Freidora de Aire 2 en 1 para Freír o a la Parrilla, con Poco o Sin Aceite, Pantalla Digital Táctil, 8 Programas, Comidas Sanas, Gran Capacidad, Hasta 8 personas",0,4.6,11999,"https://images-eu.ssl-images-amazon.com/images/I/715oNApYwkL._AC_UL600_SR600,400_.jpg"
69,B00G5YOVZA,"Nespresso De'Longhi Inissia EN80.B - Cafetera monodosis de cápsulas Nespresso, 19 bares, apagado automático, color negro, Incluye pack de bienvenida con 14 cápsulas",0,4.3,7900,"https://images-eu.ssl-images-amazon.com/images/I/61f4U34vuyL._AC_UL600_SR600,400_.jpg"
70,B015AOGP1S,"ANSIO Deshumidificador 500ml Paquete de 10 Elimina la condensación, Deshumidificador, Absorbedor de Humedad para Moho húmedo en el hogar, Cocina, Armario, Dormitorio",0,4.4,2697,"https://images-eu.ssl-images-amazon.com/images/I/91NrYIwivjL._AC_UL600_SR600,400_.jpg"
71,B0CLB5RDHC,"Árbol de Navidad Artificial, 120cm/150cm/180cm/210cm, de PVC difícilmente inflamable, Montaje rápido, Plegable, Incluye Soporte de Metal (180 CM, Árbol Verde)",0,4.0,2995,"https://images-eu.ssl-images-amazon.com/images/I/81EfLuduwbL._AC_UL600_SR600,400_.jpg"
72,B0B8NJ9NN6,"Degrees home - Sabana Bajera 135x190 Ajustable - Microfibra cepillada - Blanco, LB3W",0,4.1,964,"https://images-eu.ssl-images-amazon.com/images/I/81fGk1118bL._AC_UL600_SR600,400_.jpg"
73,B0BDSFNCHX,Bola de Navidad Personalizada - Decoración navideña - Esfera grabada en Madera de máxima Calidad con Cuerda incluida.,0,4.7,250,"https://images-eu.ssl-images-amazon.com/images/I/915oNLfl0yL._AC_UL600_SR600,400_.jpg"
74,B0BQ1QCZTY,"Cecotec Robot Aspirador Conga 999 Origin Genesis. Tecnología Random, 1000 Pa, 2 Cepillos Laterales, Autonomía 120 Minutos, 6 Programas, Control con App Mando a Distancia",0,4.1,9900,"https://images-eu.ssl-images-amazon.com/images/I/71Y+ozpso4L._AC_UL600_SR600,400_.jpg"
75,B00EVTGAY6,LA FANTASTICA PIEDRA BLANCA (ARCILLA CON REGALO DE ESPONJA) BOTE 600 GRAMOS,0,4.5,1690,"https://images-eu.ssl-images-amazon.com/images/I/71YQLLpjmbL._AC_UL600_SR600,400_.jpg"
76,B07SWXRZPX,"Cecotec Aspirador de Mano Conga Immortal ExtremeSuction 22,2 V Hand. Potente. para sólidos y líquidos. Tecnología ciclónica. Accesorios para casa y Coche. Autonomía de 25 Minutos.",0,4.3,4990,"https://images-eu.ssl-images-amazon.com/images/I/61gOFFelIiL._AC_UL600_SR600,400_.jpg"
